,unixtime,price,amount
605,1714361108,62705.0,0.01443672
606,1714361108,62705.0,0.06186328
607,1714361100,62704.0,0.0026112
608,1714361086,62688.0,0.031
609,1714361068,62673.0,0.03524
610,1714361065,62691.0,0.05994458
611,1714361065,62688.0,0.03988052
612,1714361064,62672.0,0.00083
613,1714361048,62659.0,0.03989898
614,1714361048,62651.0,0.035
615,1714360986,62650.0,0.033076
616,1714360984,62643.0,0.15963608
617,1714360984,62640.0,0.0399106
618,1714360958,62654.0,0.03323649
619,1714360958,62652.0,0.03990351
620,1714360956,62652.0,0.00076
621,1714360925,62668.0,0.03989315
622,1714360923,62671.0,0.03989115
623,1714360921,62666.0,0.03989404
624,1714360860,62645.0,0.03990756
625,1714360843,62647.0,0.00054896
626,1714360841,62646.0,0.00015141
627,1714360838,62643.0,0.00010917
628,1714360818,62616.0,0.01
629,1714360815,62634.0,0.00687
630,1714360809,62620.0,8.334e-05
631,1714360809,62620.0,0.0145
632,1714360800,62617.0,0.00038749
633,1714360800,62618.0,0.00222371
634,1714360799,62619.0,0.041
635,1714360799,62619.0,0.03992456
636,1714360793,62618.0,0.00558629
637,1714360738,62627.0,0.0446
638,1714360738,62627.0,0.0366
639,1714360737,62627.0,0.0038
640,1714360717,62629.0,0.00045425
641,1714360712,62616.0,0.0002895
642,1714360711,62629.0,0.0003454
643,1714360706,62629.0,0.00095271
644,1714360706,62629.0,0.0004
645,1714360702,62600.0,5.81e-06
646,1714360702,62600.0,0.9764
647,1714360702,62597.0,4.394e-05
648,1714360702,62597.0,0.0086
649,1714360695,62597.0,0.01735606
650,1714360676,62600.0,0.009492
651,1714360676,62599.0,0.029858
652,1714360660,62600.0,0.02968679
653,1714360660,62602.0,0.23961508
654,1714360660,62603.0,3.22952128
655,1714360660,62604.0,0.029858
656,1714360660,62610.0,0.1612
657,1714360660,62611.0,0.69048
658,1714360660,62615.0,0.04781
659,1714360660,62618.0,0.009828
660,1714360635,62623.0,0.00039
661,1714360635,62615.0,0.01
662,1714360617,62628.0,0.010234
663,1714360615,62626.0,0.0003276
664,1714360607,62616.0,0.078
665,1714360599,62617.0,0.00259
666,1714360598,62617.0,0.00015144
667,1714360592,62618.0,0.00743
668,1714360589,62583.0,0.033
669,1714360567,62584.0,0.00287
670,1714360564,62557.0,1.659e-05
671,1714360564,62557.0,0.0143
672,1714360539,62557.0,0.00015156
673,1714360532,62563.0,0.00011518
674,1714360500,62554.0,0.0026112
675,1714360497,62591.0,0.14656508
676,1714360497,62581.0,0.64
677,1714360497,62577.0,0.1612
678,1714360497,62570.0,0.04714046
679,1714360497,62568.0,0.010414
680,1714360497,62566.0,0.69048
681,1714360497,62566.0,0.1612
682,1714360497,62565.0,0.1612
683,1714360497,62564.0,0.39972627
684,1714360497,62563.0,0.39972627
685,1714360489,62565.0,0.00306
686,1714360485,62570.0,0.00082438
687,1714360464,62579.0,0.00133
688,1714360442,62559.0,0.00158
689,1714360402,62568.0,0.00287
690,1714360401,62582.0,0.0007946
691,1714360401,62582.0,0.00079442
692,1714360378,62608.0,0.00772
693,1714360330,62570.0,1.179e-05
694,1714360330,62570.0,0.0095
695,1714360286,62521.0,0.038
696,1714360254,62520.0,0.00031258
697,1714360246,62514.0,0.0073
698,1714360219,62505.0,0.00224775
699,1714360218,62536.0,3.33e-06
700,1714360218,62536.0,0.07899667
701,1714360218,62536.0,0.01404333
702,1714360217,62536.0,0.00054
703,1714360210,62508.0,0.00208
704,1714360203,62538.0,0.00076
705,1714360200,62519.0,0.0026112
706,1714360200,62512.0,0.046
707,1714360181,62485.0,0.0005802
708,1714360178,62498.0,0.00312
709,1714360178,62498.0,0.00030958
710,1714360172,62480.0,0.00220741
711,1714360172,62480.0,0.31520846
712,1714360171,62480.0,0.17
713,1714360171,62480.0,0.11346702
714,1714360170,62488.0,0.00193117
715,1714360170,62488.0,0.01416436
716,1714360169,62488.0,0.43
717,1714360169,62488.0,0.07959006
718,1714360161,62495.0,0.00220671
719,1714360161,62495.0,0.05027891
720,1714360160,62495.0,0.036
721,1714360160,62495.0,0.51
722,1714360160,62495.0,0.00220499
723,1714360160,62500.0,0.016
724,1714360160,62500.0,0.07974481
725,1714360160,62503.0,0.00193055
726,1714360160,62503.0,0.41011965
727,1714360160,62503.0,0.11346702
728,1714360158,62510.0,0.00413611
729,1714360158,62510.0,0.14400919
730,1714360155,62510.0,0.11346702
731,1714360149,62511.0,0.00327018
